"Time","Current power/SENSOR"
2023-04-09 05:27:20,120.00 mA
2023-04-09 05:27:30,118.00 mA
2023-04-09 05:27:40,118.00 mA
2023-04-09 05:27:50,116.00 mA
2023-04-09 05:28:00,115.00 mA
2023-04-09 05:28:10,115.00 mA
2023-04-09 05:28:20,114.00 mA
2023-04-09 05:28:30,113.00 mA
2023-04-09 05:28:40,112.00 mA
2023-04-09 05:28:50,115.00 mA
2023-04-09 05:29:00,112.00 mA
2023-04-09 05:29:10,112.00 mA
2023-04-09 05:29:20,111.00 mA
2023-04-09 05:29:30,111.00 mA
2023-04-09 05:29:40,106.00 mA
2023-04-09 05:29:50,105.00 mA
2023-04-09 05:30:00,104.00 mA
2023-04-09 05:30:10,104.00 mA
2023-04-09 05:30:20,103.00 mA
2023-04-09 05:30:30,102.00 mA
2023-04-09 05:30:40,102.00 mA
2023-04-09 05:30:50,101.00 mA
2023-04-09 05:31:00,101.00 mA
2023-04-09 05:31:10,100.00 mA
2023-04-09 05:31:20,98.00 mA
2023-04-09 05:31:30,98.00 mA
2023-04-09 05:31:40,99.00 mA
2023-04-09 05:31:50,97.00 mA
2023-04-09 05:32:00,98.00 mA
2023-04-09 05:32:10,96.00 mA
2023-04-09 05:32:20,95.00 mA
2023-04-09 05:32:30,95.00 mA
2023-04-09 05:32:40,94.00 mA
2023-04-09 05:32:50,93.00 mA
2023-04-09 05:33:00,92.00 mA
2023-04-09 05:33:10,92.00 mA
2023-04-09 05:33:20,91.00 mA
2023-04-09 05:33:30,90.00 mA
2023-04-09 05:33:40,90.00 mA
2023-04-09 05:33:50,90.00 mA
2023-04-09 05:34:00,89.00 mA
2023-04-09 05:34:10,89.00 mA
2023-04-09 05:34:20,88.00 mA
2023-04-09 05:34:30,87.00 mA
2023-04-09 05:34:40,87.00 mA
2023-04-09 05:34:50,86.00 mA
2023-04-09 05:35:00,86.00 mA
2023-04-09 05:35:10,85.00 mA
2023-04-09 05:35:20,85.00 mA
2023-04-09 05:35:30,84.00 mA
2023-04-09 05:35:40,83.00 mA
2023-04-09 05:35:50,82.00 mA
2023-04-09 05:36:00,82.00 mA
2023-04-09 05:36:10,81.00 mA
2023-04-09 05:36:20,81.00 mA
2023-04-09 05:36:30,81.00 mA
2023-04-09 05:36:40,80.00 mA
2023-04-09 05:36:50,80.00 mA
2023-04-09 05:37:00,79.00 mA
2023-04-09 05:37:10,77.00 mA
2023-04-09 05:37:20,77.00 mA
2023-04-09 05:37:30,76.00 mA
2023-04-09 05:37:40,75.00 mA
2023-04-09 05:37:50,75.00 mA
2023-04-09 05:38:00,74.00 mA
2023-04-09 05:38:10,74.00 mA
2023-04-09 05:38:20,73.00 mA
2023-04-09 05:38:30,73.00 mA
2023-04-09 05:38:40,72.00 mA
2023-04-09 05:38:50,74.00 mA
2023-04-09 05:39:00,74.00 mA
2023-04-09 05:39:10,74.00 mA
2023-04-09 05:39:20,72.00 mA
2023-04-09 05:39:30,72.00 mA
2023-04-09 05:39:40,72.00 mA
2023-04-09 05:39:50,72.00 mA
2023-04-09 05:40:00,71.00 mA
2023-04-09 05:40:10,70.00 mA
2023-04-09 05:40:20,71.00 mA
2023-04-09 05:40:30,70.00 mA
2023-04-09 05:40:40,70.00 mA
2023-04-09 05:40:50,70.00 mA
2023-04-09 05:41:00,70.00 mA
2023-04-09 05:41:10,69.00 mA
2023-04-09 05:41:20,69.00 mA
2023-04-09 05:41:30,69.00 mA
2023-04-09 05:41:40,69.00 mA
2023-04-09 05:41:50,68.00 mA
2023-04-09 05:42:00,68.00 mA
2023-04-09 05:42:10,68.00 mA
2023-04-09 05:42:20,67.00 mA
2023-04-09 05:42:30,67.00 mA
2023-04-09 05:42:40,66.00 mA
2023-04-09 05:42:50,67.00 mA
2023-04-09 05:43:00,66.00 mA
2023-04-09 05:43:10,66.00 mA
2023-04-09 05:43:20,66.00 mA
2023-04-09 05:43:30,66.00 mA
2023-04-09 05:43:40,65.00 mA
2023-04-09 05:43:50,65.00 mA
2023-04-09 05:44:00,64.00 mA
2023-04-09 05:44:10,64.00 mA
2023-04-09 05:44:20,63.00 mA
2023-04-09 05:44:30,64.00 mA
2023-04-09 05:44:40,63.00 mA
2023-04-09 05:44:50,63.00 mA
2023-04-09 05:45:00,63.00 mA
2023-04-09 05:45:10,11.00 mA
2023-04-09 05:45:20,15.00 mA
2023-04-09 05:45:30,15.00 mA
2023-04-09 05:45:40,11.00 mA
2023-04-09 05:45:50,14.00 mA
2023-04-09 05:46:00,17.00 mA
2023-04-09 05:46:10,13.00 mA
2023-04-09 05:46:20,11.00 mA
2023-04-09 05:46:30,12.00 mA
2023-04-09 05:46:40,12.00 mA
2023-04-09 05:46:50,21.00 mA
2023-04-09 05:47:00,15.00 mA
2023-04-09 05:47:10,13.00 mA
2023-04-09 05:47:20,11.00 mA
2023-04-09 05:47:30,12.00 mA
2023-04-09 05:47:40,13.00 mA
2023-04-09 05:47:50,11.00 mA
2023-04-09 05:48:00,0.00 A
2023-04-09 05:48:10,13.00 mA
2023-04-09 05:48:20,16.00 mA
2023-04-09 05:48:30,12.00 mA
2023-04-09 05:48:40,12.00 mA
2023-04-09 05:48:50,12.00 mA
2023-04-09 05:49:00,11.00 mA
2023-04-09 05:49:10,14.00 mA
2023-04-09 05:49:20,11.00 mA
2023-04-09 05:49:30,13.00 mA
2023-04-09 05:49:40,11.00 mA
2023-04-09 05:49:50,14.00 mA
2023-04-09 05:50:00,11.00 mA
2023-04-09 05:50:10,15.00 mA
2023-04-09 05:50:20,11.00 mA
2023-04-09 05:50:30,13.00 mA
2023-04-09 05:50:40,14.00 mA
2023-04-09 05:50:50,11.00 mA
2023-04-09 05:51:00,10.00 mA
2023-04-09 05:51:10,11.00 mA
2023-04-09 05:51:20,11.00 mA
2023-04-09 05:51:30,13.00 mA
2023-04-09 05:51:40,13.00 mA
2023-04-09 05:51:50,11.00 mA
2023-04-09 05:52:00,11.00 mA
2023-04-09 05:52:10,13.00 mA
2023-04-09 05:52:20,15.00 mA
2023-04-09 05:52:30,11.00 mA
2023-04-09 05:52:40,14.00 mA
2023-04-09 05:52:50,10.00 mA
2023-04-09 05:53:00,13.00 mA
2023-04-09 05:53:10,11.00 mA
2023-04-09 05:53:20,15.00 mA
2023-04-09 05:53:30,13.00 mA
2023-04-09 05:53:40,18.00 mA
2023-04-09 05:53:50,11.00 mA
2023-04-09 05:54:00,13.00 mA
2023-04-09 05:54:10,11.00 mA
2023-04-09 05:54:20,11.00 mA
2023-04-09 05:54:30,13.00 mA
2023-04-09 05:54:40,11.00 mA
2023-04-09 05:54:50,11.00 mA
2023-04-09 05:55:00,13.00 mA

